參賽者編號,參賽者暱稱,週期編號,週期開始日期,週期結束日期,是否有效,周步數
1,健走01,1,2026/06/08,2026/06/14,是,48387
1,健走01,2,2026/06/15,2026/06/21,是,54779
1,健走01,3,2026/06/22,2026/06/28,是,53130
1,健走01,4,2026/06/29,2026/07/05,是,51481
1,健走01,5,2026/07/06,2026/07/12,是,57873
1,健走01,6,2026/07/13,2026/07/19,是,56224
1,健走01,7,2026/07/20,2026/07/26,是,54575
1,健走01,8,2026/07/27,2026/08/02,是,60967
1,健走01,9,2026/08/03,2026/08/09,是,59318
1,健走01,10,2026/08/10,2026/08/16,是,65710
1,健走01,11,2026/08/17,2026/08/23,是,64061
1,健走01,12,2026/08/24,2026/08/30,是,62412
1,健走01,13,2026/08/31,2026/09/06,是,68804
1,健走01,14,2026/09/07,2026/09/13,是,67155
1,健走01,15,2026/09/14,2026/09/20,是,65506
1,健走01,16,2026/09/21,2026/09/27,是,71898
1,健走01,17,2026/09/28,2026/10/04,是,70249
1,健走01,18,2026/10/05,2026/10/11,是,68600
2,健走02,1,2026/06/08,2026/06/14,是,56423
2,健走02,2,2026/06/15,2026/06/21,是,54774
2,健走02,3,2026/06/22,2026/06/28,是,53125
2,健走02,4,2026/06/29,2026/07/05,是,59517
2,健走02,5,2026/07/06,2026/07/12,是,57868
2,健走02,6,2026/07/13,2026/07/19,是,64260
2,健走02,7,2026/07/20,2026/07/26,是,62611
2,健走02,8,2026/07/27,2026/08/02,是,60962
2,健走02,9,2026/08/03,2026/08/09,是,67354
2,健走02,10,2026/08/10,2026/08/16,是,65705
2,健走02,11,2026/08/17,2026/08/23,是,64056
2,健走02,12,2026/08/24,2026/08/30,是,70448
2,健走02,13,2026/08/31,2026/09/06,是,68799
2,健走02,14,2026/09/07,2026/09/13,是,67150
2,健走02,15,2026/09/14,2026/09/20,是,73542
2,健走02,16,2026/09/21,2026/09/27,是,71893
2,健走02,17,2026/09/28,2026/10/04,是,78285
2,健走02,18,2026/10/05,2026/10/11,是,76636
3,健走03,1,2026/06/08,2026/06/14,是,56418
3,健走03,2,2026/06/15,2026/06/21,是,62810
3,健走03,3,2026/06/22,2026/06/28,是,61161
3,健走03,4,2026/06/29,2026/07/05,是,59512
3,健走03,5,2026/07/06,2026/07/12,是,65904
3,健走03,6,2026/07/13,2026/07/19,是,64255
3,健走03,7,2026/07/20,2026/07/26,是,62606
3,健走03,8,2026/07/27,2026/08/02,是,68998
3,健走03,9,2026/08/03,2026/08/09,是,67349
3,健走03,10,2026/08/10,2026/08/16,是,65700
3,健走03,11,2026/08/17,2026/08/23,是,72092
3,健走03,12,2026/08/24,2026/08/30,是,70443
3,健走03,13,2026/08/31,2026/09/06,是,76835
