參賽者編號,參賽者暱稱,週期編號,週期開始日期,週期結束日期,週期步數
W01,藍鯨01,P01,2026/06/08,2026/06/21,109053
W01,藍鯨01,P02,2026/06/22,2026/07/05,111862
W01,藍鯨01,P03,2026/07/06,2026/07/19,111743
W01,藍鯨01,P04,2026/07/20,2026/08/02,109164
W01,藍鯨01,P05,2026/08/03,2026/08/16,105199
W01,藍鯨01,P06,2026/08/17,2026/08/30,101259
W01,藍鯨01,P07,2026/08/31,2026/09/13,98748
W01,藍鯨01,P08,2026/09/14,2026/09/27,98723
W01,藍鯨01,P09,2026/09/28,2026/10/11,101631
W02,藍鯨02,P01,2026/06/08,2026/06/21,115886
W02,藍鯨02,P02,2026/06/22,2026/07/05,116748
W02,藍鯨02,P03,2026/07/06,2026/07/19,115420
W02,藍鯨02,P04,2026/07/20,2026/08/02,113107
W02,藍鯨02,P05,2026/08/03,2026/08/16,111258
W02,藍鯨02,P06,2026/08/17,2026/08/30,111206
W02,藍鯨02,P07,2026/08/31,2026/09/13,113846
W02,藍鯨02,P08,2026/09/14,2026/09/27,119413
W02,藍鯨02,P09,2026/09/28,2026/10/11,127425
W03,藍鯨03,P01,2026/06/08,2026/06/21,117953
W03,藍鯨03,P02,2026/06/22,2026/07/05,117985
W03,藍鯨03,P03,2026/07/06,2026/07/19,117458
W03,藍鯨03,P04,2026/07/20,2026/08/02,117822
W03,藍鯨03,P05,2026/08/03,2026/08/16,120311
W03,藍鯨03,P06,2026/08/17,2026/08/30,125637
W03,藍鯨03,P07,2026/08/31,2026/09/13,133819
W03,藍鯨03,P08,2026/09/14,2026/09/27,144175
W03,藍鯨03,P09,2026/09/28,2026/10/11,155493
W04,藍鯨04,P01,2026/06/08,2026/06/21,116899
W04,藍鯨04,P02,2026/06/22,2026/07/05,118290
W04,藍鯨04,P03,2026/07/06,2026/07/19,120981
W04,藍鯨04,P04,2026/07/20,2026/08/02,126076
W04,藍鯨04,P05,2026/08/03,2026/08/16,134090
W04,藍鯨04,P06,2026/08/17,2026/08/30,144825
W04,藍鯨04,P07,2026/08/31,2026/09/13,157414
W04,藍鯨04,P08,2026/09/14,2026/09/27,170538
W04,藍鯨04,P09,2026/09/28,2026/10/11,182748
W05,藍鯨05,P01,2026/06/08,2026/06/21,106641
W05,藍鯨05,P02,2026/06/22,2026/07/05,102760
W05,藍鯨05,P03,2026/07/06,2026/07/19,101508
W05,藍鯨05,P04,2026/07/20,2026/08/02,103193
W05,藍鯨05,P05,2026/08/03,2026/08/16,107401
W05,藍鯨05,P06,2026/08/17,2026/08/30,113102
W05,藍鯨05,P07,2026/08/31,2026/09/13,118901
W05,藍鯨05,P08,2026/09/14,2026/09/27,123377
W05,藍鯨05,P09,2026/09/28,2026/10/11,125435
W06,藍鯨06,P01,2026/06/08,2026/06/21,108181
W06,藍鯨06,P02,2026/06/22,2026/07/05,109611
W06,藍鯨06,P03,2026/07/06,2026/07/19,113927
W06,藍鯨06,P04,2026/07/20,2026/08/02,120513
W06,藍鯨06,P05,2026/08/03,2026/08/16,128199
W06,藍鯨06,P06,2026/08/17,2026/08/30,135541
W06,藍鯨06,P07,2026/08/31,2026/09/13,141184
W06,藍鯨06,P08,2026/09/14,2026/09/27,144187
W06,藍鯨06,P09,2026/09/28,2026/10/11,144255
W07,藍鯨07,P01,2026/06/08,2026/06/21,114377
W07,藍鯨07,P02,2026/06/22,2026/07/05,121269
W07,藍鯨07,P03,2026/07/06,2026/07/19,130127
W07,藍鯨07,P04,2026/07/20,2026/08/02,0
W07,藍鯨07,P05,2026/08/03,2026/08/16,148426
W07,藍鯨07,P06,2026/08/17,2026/08/30,155150
W07,藍鯨07,P07,2026/08/31,2026/09/13,159070
W07,藍鯨07,P08,2026/09/14,2026/09/27,160109
W07,藍鯨07,P09,2026/09/28,2026/10/11,158893
